date,pos_rate
2023-07-01,0.00461511153186202
2023-07-02,0.005206792497485356
2023-07-03,0.005502632980297024
2023-07-04,0.012484468374652388
2023-07-05,0.007277675877167032
2023-07-06,0.0033725815040530145
2023-07-07,0.003905094373114017
2023-07-08,0.0036684219868646827
2023-07-09,0.0032542453109283475
2023-07-10,0.0041417667593633516
2023-07-11,0.004792615821549021
2023-07-12,0.005206792497485356
2023-07-13,0.0037867581799893497
2023-07-14,0.004496775338737353
2023-07-15,0.004792615821549021
2023-07-16,0.004082598662801018
2023-07-17,0.00396426246967635
2023-07-18,0.004200934855925685
2023-07-19,0.0028400686349920124
2023-07-20,0.0035500857937400153
2023-07-21,0.002899236731554346
2023-07-22,0.0027809005384296787
2023-07-23,0.003905094373114017
2023-07-24,0.0036684219868646827
2023-07-25,0.003609253890302349
2023-07-26,0.003609253890302349
2023-07-27,0.0036684219868646827
2023-07-28,0.0029584048281166794
2023-07-29,0.004437607242175019
2023-07-30,0.003076741021241347
2023-07-31,0.003313413407490681
2023-08-01,0.0022483876693686765
2023-08-02,0.0028400686349920124
2023-08-03,0.003017572924679013
2023-08-04,0.0028400686349920124
2023-08-05,0.003609253890302349
2023-08-06,0.0033725815040530145
2023-08-07,0.003905094373114017
2023-08-08,0.002603396248742678
2023-08-09,0.002721732441867345
2023-08-10,0.003313413407490681
2023-08-11,0.002130051476244009
2023-08-12,0.0020708833796816758
2023-08-13,0.004082598662801018
2023-08-14,0.003076741021241347
2023-08-15,0.006981835394355364
2023-08-16,0.004319271049050352
2023-08-17,0.0050884563043606884
2023-08-18,0.003076741021241347
2023-08-19,0.003905094373114017
2023-08-20,0.0022483876693686765
2023-08-21,0.0014200343174960062
2023-08-22,0.0022483876693686765
2023-08-23,0.002603396248742678
2023-08-24,0.0016567067037453404
2023-08-25,0.0020708833796816758
2023-08-26,0.0023667238624933435
2023-08-27,0.002189219572806343
2023-08-28,0.0023667238624933435
2023-08-29,0.002721732441867345
2023-08-30,0.0024258919590556772
2023-08-31,0.0029584048281166794
2023-09-01,0.002011715283119342
2023-09-02,0.0011833619312466718
2023-09-03,0.002011715283119342
2023-09-04,0.0018933790899946748
2023-09-05,0.0019525471865570086
2023-09-06,0.0013608662209336725
2023-09-07,0.0017750428968700076
2023-09-08,0.0019525471865570086
2023-09-09,0.004674279628424353
2023-09-10,0.004023430566238684
2023-09-11,0.00230755576593101
2023-09-12,0.002721732441867345
2023-09-13,0.00230755576593101
2023-09-14,0.0014792024140583397
2023-09-15,0.0019525471865570086
2023-09-16,0.002485060055618011
2023-09-17,0.002011715283119342
2023-09-18,0.0013608662209336725
2023-09-19,0.0017750428968700076
2023-09-20,0.0011833619312466718
2023-09-21,0.002011715283119342
2023-09-22,0.0020708833796816758
2023-09-23,0.002603396248742678
2023-09-24,0.0019525471865570086
2023-09-25,0.0023667238624933435
2023-09-26,0.0018342109934323413
2023-09-27,0.0017750428968700076
2023-09-28,0.0012425300278090055
2023-09-29,0.0018342109934323413
2023-09-30,0.0016567067037453404
