date,pos_rate
2023-07-01,0.00461511153186202
2023-07-02,0.005206792497485356
2023-07-03,0.005502632980297024
2023-07-04,0.012484468374652388
2023-07-05,0.007277675877167032
2023-07-06,0.0033725815040530145
2023-07-07,0.003905094373114017
2023-07-08,0.0036684219868646827
2023-07-09,0.0032542453109283475
2023-07-10,0.0041417667593633516
2023-07-11,0.004792615821549021
2023-07-12,0.005206792497485356
2023-07-13,0.0037867581799893497
2023-07-14,0.004496775338737353
2023-07-15,0.004792615821549021
2023-07-16,0.004082598662801018
2023-07-17,0.00396426246967635
2023-07-18,0.004200934855925685
2023-07-19,0.0028400686349920124
2023-07-20,0.0035500857937400153
2023-07-21,0.002899236731554346
2023-07-22,0.0027809005384296787
2023-07-23,0.003905094373114017
2023-07-24,0.0036684219868646827
2023-07-25,0.003609253890302349
2023-07-26,0.003609253890302349
2023-07-27,0.0036684219868646827
2023-07-28,0.0029584048281166794
2023-07-29,0.004437607242175019
2023-07-30,0.003076741021241347
2023-07-31,0.003313413407490681
