incident_id,date,lat,lon,state,type
{000541A7-AEEC-4C38-8871-41821CC77721},2023-07-09,33.91444,-118.18403,US-CA,WF
{0005C454-56FC-4661-9C29-BF0584314B8D},2023-08-05,34.267917,-116.843567,US-CA,WF
{001A603B-A5F2-4A51-A0E7-C382D1DE8AD7},2023-09-13,33.736108,-116.37376,US-CA,WF
{001F87B2-0561-4271-B93D-E275AD576859},2023-07-08,37.423341,-120.767423,US-CA,WF
{00204713-0187-4BC0-BB37-44178A8FD631},2023-07-14,36.426179,-121.312937,US-CA,WF
{002220B5-A8E3-4F07-BFBD-E498AA271C55},2023-09-28,33.537617,-116.840904,US-CA,WF
{0032641F-8CC2-47A1-9425-F8257E0A2E57},2023-07-04,33.837029,-117.305092,US-CA,WF
{0036B445-F15F-4432-9DD2-480F2CA92938},2023-07-07,36.965999,-120.65149,US-CA,WF
{003D15D8-C63D-4E55-9362-AA2A8C112873},2023-07-04,34.578,-118.18172,US-CA,WF
{0047F5BE-6C0E-4A47-92D0-97F028CFAAE0},2023-07-14,37.483283,-121.213617,US-CA,WF
{0053DD92-F9BD-4F1D-B0D6-506B3FF9E4AA},2023-07-28,37.975316,-120.350322,US-CA,WF
{005682BB-04EC-4FEB-9973-DD8781899BB3},2023-10-01,33.763925,-116.95879,US-CA,WF
{005AEB45-8DD1-452D-9BDB-DB1025AB4036},2023-09-06,36.669849,-119.493252,US-CA,WF
{00639A52-C73A-463B-8627-DF0ACCB86A71},2023-07-01,33.60271,-114.640278,US-CA,WF
{00685269-C08E-405A-98DB-97E9AE6A36D2},2023-08-10,41.91582,-122.42996,US-CA,WF
{0068A200-411B-48D4-9AEF-A27487A0345F},2023-09-21,36.66331,-119.785885,US-CA,WF
{0074C85F-AF10-448B-9475-BCAE68752E25},2023-09-10,36.560823,-118.052625,US-CA,WF
{007AF3B2-977B-4F59-A8AB-160BCE4FDF2B},2023-09-02,40.9343,-124.115127,US-CA,WF
{008547F2-E244-4B5E-8C8B-CB58216EE28E},2023-09-03,33.094811,-117.132569,US-CA,WF
{00854D7A-E692-4329-9B96-266C6FCC3D08},2023-09-16,34.04121,-118.0642,US-CA,WF
{008624DD-A00F-46AB-84ED-C71771461172},2023-07-30,36.97456,-120.076236,US-CA,WF
{0090D069-65B1-43BD-8072-84EA0095D036},2023-08-31,38.247013,-122.413081,US-CA,WF
{00976B05-8548-43C7-AC36-3BF7DCD4BC44},2023-09-01,33.473872,-116.651404,US-CA,WF
{00A5DBA0-F60B-48E8-8B8E-B5F53CBE4A2C},2023-09-27,38.861744,-119.82695,US-CA,WF
{00A9B620-75B1-4FB1-A0B0-6DF49D606016},2023-08-15,39.818333,-121.118333,US-CA,WF
{00B1DAD6-857D-4C18-A5CF-390CBEB0FFBB},2023-09-08,36.466939,-121.390318,US-CA,WF
